eid,ename,email,phoneNumber,designation,experience
1,veeru,veeru@gmail.com,12345689,vc,25
2,hari,hari@gmail.com,1234567,sr manager,15
3,yandra,yandra@gmail.com,9864564,manager,16
4,alin,alin@gmail.com,68745443,ceo,18
5,santra,santra@gmail.com,9846546,developer,18
6,mon,mon@gmail.com,786764546,tester,25
7,jhon,jhon@gmail.com,789765456,technical manager,15
8,bane,bane@gmail.com,687897535,testing manager,19
9,apple,apple@gmail.com,46874534,sr manager,20
10,van,van@gmail.com,684646465,sr testing manager,18
11,lon,lon@gmail.com,4654687,senior engineer,5
12,san,san@gmail.com,46578789,technical lead,6
13,don,don@gmail.com,46798764,lead,8
14,moa,moa@gmail.com,2131546,manager,10
15,nanana,nanana@gmail.com,1564646,developer,1
16,nonen,nonen@gmail.com,56445,developer,2
17,loanad,loanad@gmail.com,156464665,developer,3
18,sanrea,sanrea@gmail.com,564654545,developer,4
19,monali,monali@gmail.com,4584464,developer,5
20,venkat,venkat@gmail.com,65464646,developer,6
